lhb,cluster,practice,practice_code,Asthma ,Atrial fibrillation ,Cancer ,Chronic obstructive pulmonary disease ,Secondary prevention of coronary heart disease ,Dementia ,Diabetes mellitus (patients aged 17+) ,Epilepsy (patients aged 18+) ,Heart failure ,Hypertension ,Learning disability ,Mental health ,Obesity (patients aged 16+) ,Osteoporosis (patients aged 50+) ,Palliative care ,Rheumatoid Arthritis (patients aged 16+) ,Stroke and transient ischaemic attack 
Betsi Cadwaladr University Health Board ,Arfon ,Bodnant Surgery ,W94010 ,4.560926,1.089176,2.118788,1.582709,1.480599,0.229748,4.054605,0.607211,0.331858,8.662355,0.280803,0.73179,9.216352,0.273038,0.127638,0.351471,1.089176
Betsi Cadwaladr University Health Board ,Arfon ,Llanberis Surgery ,W94017 ,8.382404,1.957049,4.173883,2.684448,2.563214,0.51957,6.856772,0.859087,0.779356,14.028403,0.762037,0.969865,7.066013,0.547517,0.259785,1.018157,1.905092
Betsi Cadwaladr University Health Board ,Arfon ,Felinheli & Porthaethwy Surgery ,W94027 ,5.800326,2.136182,4.628393,2.017505,2.759235,0.712061,6.22771,0.960404,0.637888,14.330218,0.445038,1.082925,8.008016,1.101101,0.267023,0.618721,1.587302
Betsi Cadwaladr University Health Board ,Arfon ,Yr Hen Orsaf Medical Centre ,W94028 ,7.238967,1.722282,3.162002,2.368138,2.27395,0.296017,6.793954,0.839361,0.699677,12.419268,0.457481,0.928418,12.879633,0.277681,0.134553,0.564314,1.385899
Betsi Cadwaladr University Health Board ,Arfon ,Market Street Surgery ,W94030 ,7.165319,2.163822,4.043127,2.905061,3.069781,1.287811,6.816663,1.170553,1.085654,16.067685,0.928422,1.295298,11.631024,0.423027,0.284516,0.903202,1.89428
Betsi Cadwaladr University Health Board ,Arfon ,Bron Derw Medical Centre ,W94034 ,6.363001,1.768055,3.056638,2.697033,2.337429,0.579363,6.614921,0.948124,0.789132,11.257617,0.719209,1.288583,11.525037,1.556178,0.469484,0.538324,1.358506
Betsi Cadwaladr University Health Board ,Arfon ,Liverpool House ,W94039 ,7.901359,2.063412,3.841637,2.298272,2.835095,0.335514,6.891631,0.848132,0.70458,18.033887,0.721355,0.536823,14.217958,0.07761,0.201309,0.720157,1.996309
Betsi Cadwaladr University Health Board ,Arfon ,Glanfa ,W94040 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Betsi Cadwaladr University Health Board ,Arfon ,Corwen House ,W94609 ,7.484611,2.308338,4.168998,2.783996,3.105764,0.279799,8.144284,1.101891,0.993285,16.843872,0.363738,0.727476,7.66069,0.297974,0.237829,0.853046,2.224398
Betsi Cadwaladr University Health Board ,Central & South Denbighshire ,,,7.727347,2.904506,4.541079,2.594567,3.66057,0.751368,7.728412,0.880967,1.373594,17.988213,0.781892,1.14114,11.138116,0.475756,0.462561,0.991845,2.301064
Betsi Cadwaladr University Health Board ,Central & South Denbighshire ,Plas Meddyg Surgery ,W91002 ,7.510869,3.135695,4.745167,2.238461,3.40394,0.897234,7.081848,0.728799,1.331977,17.833688,0.295995,1.054482,9.916375,0.189573,0.305245,0.783162,2.164462
Betsi Cadwaladr University Health Board ,Central & South Denbighshire ,Pen y Bont Surgery ,W91023 ,7.2579,3.017329,5.300714,2.752294,4.464832,0.550459,9.023727,0.817452,1.651376,18.002039,1.019368,0.937819,13.372158,0.35225,0.38736,1.102617,2.670744
Betsi Cadwaladr University Health Board ,Central & South Denbighshire ,Bronyffynnon Surgery ,W91027 ,8.835798,2.578688,2.938946,2.919985,3.659462,0.758438,7.91562,1.021649,1.042852,17.899128,1.270383,1.2135,5.952695,1.490683,0.341297,1.082308,1.744407
Betsi Cadwaladr University Health Board ,Central & South Denbighshire ,Beech House Surgery ,W91033 ,7.397552,2.969665,4.768494,2.618414,4.055349,0.915381,7.861321,0.818301,1.436935,19.59553,0.489622,1.405003,10.545623,0.562771,0.319319,1.170338,2.320383
Betsi Cadwaladr University Health Board ,Central & South Denbighshire ,The Clinic Surgery ,W91034 ,7.571324,2.67008,4.681785,2.048281,3.950256,0.329188,6.7847,0.621564,1.353328,16.313094,0.365764,0.585223,14.418409,0.359712,0.109729,0.647533,2.414045
Betsi Cadwaladr University Health Board ,Central & South Denbighshire ,Corwen Family Practice ,W91047 ,8.971499,3.122677,5.130112,2.949195,3.122677,0.545229,7.29395,0.910787,1.883519,18.636927,0.669145,0.94176,14.633766,0.200904,1.933086,0.920176,3.048327
Betsi Cadwaladr University Health Board ,Central & South Denbighshire ,Middle Lane Surgery ,W91057 ,8.259669,2.679558,4.281768,2.651934,3.370166,0.828729,8.616642,1.056225,1.132597,15.469613,0.745856,0.801105,13.46594,0.297089,0.303867,1.32019,2.209945
Betsi Cadwaladr University Health Board ,Central & South Denbighshire ,Berllan Surgery ,W91624 ,5.179063,2.14876,3.746556,3.140496,2.31405,0.495868,7.348997,1.82544,0.881543,16.914601,4.077135,2.589532,12.942648,0.454545,0.275482,0.765083,1.983471
Betsi Cadwaladr University Health Board ,Conwy East ,,,7.854326,3.05604,4.62008,2.583984,4.570789,1.048381,9.186332,1.023124,1.419959,18.201638,0.532722,1.253128,12.640139,0.479252,0.295746,0.950538,2.43232
Betsi Cadwaladr University Health Board ,Conwy East ,Cadwgan Surgery ,W91007 ,8.133133,2.711044,4.337671,2.068735,3.778779,0.709042,8.080029,1.079106,1.184518,15.14014,0.417084,1.101101,9.868818,0.312672,0.25025,0.885276,2.002002
Betsi Cadwaladr University Health Board ,Conwy East ,Kinmel Bay Medical Centre ,W91014 ,9.538462,3.046154,5.092308,4.523077,6.846154,1.169231,12.120681,0.933449,1.4,23.046154,0.507692,1.092308,16.940578,0.1468,0.169231,1.230421,2.630769
Betsi Cadwaladr University Health Board ,Conwy East ,Rhoslan Surgery ,W91031 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Betsi Cadwaladr University Health Board ,Conwy East ,Gwrych Medical Centre ,W91038 ,8.139605,3.429439,4.946889,2.640364,4.886191,1.122914,9.755726,0.852175,1.456753,20.582701,0.430956,1.050076,12.453604,0.328099,0.285281,1.201289,2.846737
Betsi Cadwaladr University Health Board ,Conwy East ,Rysseldene Surgery ,W91048 ,6.786618,2.946303,4.335114,2.170368,3.980883,1.163902,8.278208,1.18192,1.55187,16.289008,0.714085,1.602474,13.047007,0.880792,0.382345,0.651679,2.265954
Betsi Cadwaladr University Health Board ,Conwy West ,,,7.128452,2.947564,4.692833,2.547316,3.945082,0.820664,7.867117,0.92849,1.478436,18.33385,0.570897,1.065777,12.781639,1.009538,0.297859,0.928316,2.572138
Betsi Cadwaladr University Health Board ,Conwy West ,Uwchaled Medical Practice ,W00065 ,8.476027,2.611301,3.85274,3.681507,2.482877,0.984589,7.725939,0.785799,1.027397,15.539384,0.256849,0.72774,20.584108,1.207938,0.256849,1.026639,1.969178
Betsi Cadwaladr University Health Board ,Conwy West ,Mostyn House Medical Practice ,W94001 ,7.369824,2.788028,4.786798,2.511275,4.223042,0.830258,8.247246,1.05813,1.219762,18.860189,0.697007,1.465765,14.275371,0.459194,0.205002,0.748833,2.716277
Betsi Cadwaladr University Health Board ,Conwy West ,Plas Menai Surgery ,W94003 ,7.382913,2.685923,4.332568,2.766905,3.455257,0.539884,7.748023,0.909844,1.025779,16.952355,0.607369,1.309219,13.355079,0.138313,0.310433,1.108963,2.415981
Betsi Cadwaladr University Health Board ,Conwy West ,Betws y Coed Surgery ,W94005 ,6.399132,2.603037,3.940709,1.663051,2.63919,0.433839,7.345398,0.616146,0.723066,15.328995,0.32538,0.506146,13.524422,0.434468,0.506146,0.64402,1.554591
Betsi Cadwaladr University Health Board ,Conwy West ,Llys Meddyg Surgery ,W94016 ,6.810779,2.679893,5.167308,2.650281,3.62748,0.444181,6.560641,0.813237,1.006811,18.152206,0.473793,0.63666,11.153304,1.195219,0.222091,0.80923,2.146876
Betsi Cadwaladr University Health Board ,Conwy West ,Penrhyn Bay Surgery ,W94018 ,6.509889,3.986918,5.341847,2.289363,3.95577,1.214764,8.157052,0.526774,1.572964,19.000156,0.264756,0.950008,12.869242,0.575658,0.186887,0.782109,2.616415
Betsi Cadwaladr University Health Board ,Conwy West ,Craig Y Don Medical Practice ,W94019 ,7.934119,3.444528,5.041384,2.441267,5.041384,1.178831,8.732137,1.183675,2.566675,19.061951,0.66884,1.337681,10.775345,3.196868,0.359502,0.969781,3.419447
Betsi Cadwaladr University Health Board ,Conwy West ,Lonfa Surgery ,W94020 ,6.683695,1.95828,4.044274,1.873138,3.873989,0.63857,9.634464,0.725566,1.660281,19.455087,0.808855,1.149425,8.31236,0.367647,0.34057,0.912332,1.873138
Betsi Cadwaladr University Health Board ,Conwy West ,Gwydir Surgery ,W94024 ,6.265575,2.40299,3.880384,2.741189,3.559986,1.032396,7.807715,0.988396,1.085796,19.099324,0.551798,0.889996,15.979834,0.26296,0.391598,1.071034,2.58099
Betsi Cadwaladr University Health Board ,Conwy West ,Bodreinallt ,W94031 ,6.608372,2.809633,4.931193,2.537271,3.870413,0.544725,6.718491,1.033402,1.505161,17.932913,0.702408,0.774083,11.928801,0.257363,0.258028,1.058471,2.494266
Betsi Cadwaladr University Health Board ,Conwy West ,Gyffin Surgery ,W94046 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Betsi Cadwaladr University Health Board ,Conwy West ,West Shore Surgery ,W94622 ,7.426679,3.311258,4.068117,3.169347,3.831599,0.614948,7.655608,0.842018,1.561022,20.245979,0.567644,0.993377,10.089892,0.283822,0.520341,1.2064,1.892148
Betsi Cadwaladr University Health Board ,North East Flintshire ,,,7.049841,2.397233,3.546438,2.199589,3.549626,0.629592,7.622297,0.825161,1.169926,16.544733,0.365004,0.804922,15.864751,0.500097,0.259806,0.987464,1.879214
Betsi Cadwaladr University Health Board ,North East Flintshire ,The Stables Medical Practice ,W91015 ,6.529377,2.205739,3.289088,1.483506,2.947492,0.556315,5.769071,0.710753,0.634394,14.649619,0.204958,0.595354,11.864514,0.045725,0.165918,0.748845,1.542065
Betsi Cadwaladr University Health Board ,North East Flintshire ,Marches Medical Practice ,W91021 ,7.708347,2.730175,3.740145,2.085098,3.525119,0.547338,8.311701,0.827007,1.1859,18.205512,0.345344,0.76888,17.625498,0.145497,0.156382,1.067504,2.104646
Betsi Cadwaladr University Health Board ,North East Flintshire ,Shotton Lane Surgery ,W91036 ,6.565176,3.044719,4.067555,2.925785,3.782112,0.7255,7.697454,0.926302,1.415319,15.473359,0.297336,0.808754,18.542326,0.274424,0.333016,1.072224,2.081351
Betsi Cadwaladr University Health Board ,North East Flintshire ,Deeside Medical Centre ,W91039 ,5.498699,2.081526,3.29575,1.665221,3.9549,0.537728,7.613122,0.799655,1.196878,14.189072,0.277537,0.901995,13.725565,0.170503,0.329575,1.3296,1.942758
Betsi Cadwaladr University Health Board ,North East Flintshire ,The Quay Surgery ,W91040 ,7.763233,2.333523,3.938532,2.117245,3.36938,0.580535,8.347463,0.777845,1.53671,16.824132,0.398406,0.830962,19.915743,0.150693,0.37564,0.853732,1.957883
Betsi Cadwaladr University Health Board ,North East Flintshire ,Queensferry Medical Practice ,W91051 ,7.062471,1.883326,2.928342,2.54938,3.7322,0.96463,7.263904,0.935063,1.263206,15.64079,0.482315,0.953147,12.834477,2.699009,0.241158,0.835799,1.527331
Betsi Cadwaladr University Health Board ,North East Flintshire ,St Mark's Dee View Surgery ,W91060 ,7.390511,2.080292,3.30292,2.883212,3.959854,0.492701,8.465246,0.810816,0.985401,20.547445,0.675182,0.912409,14.94125,0.821444,0.383212,1.156038,1.934307
Betsi Cadwaladr University Health Board ,Dwyfor (1),,,7.480722,2.885762,4.857302,2.684368,3.389247,0.715478,8.169988,0.825084,1.136815,19.294062,0.466386,0.866524,11.947321,0.8124,0.246442,1.038082,2.390227
Betsi Cadwaladr University Health Board ,Dwyfor (1),Ffestiniog Memorial Centre (2),W94004 ,8.096828,1.961603,4.173623,3.422371,2.900668,0.542571,8.492129,1.104044,1.252087,16.92404,0.939065,1.252087,13.596349,2.011494,0.250417,1.224437,2.086811
Betsi Cadwaladr University Health Board ,Dwyfor (1),Treflan Surgery ,W94011 ,8.914569,2.861467,4.237172,2.682625,3.191636,0.481497,8.629251,1.14076,0.962994,20.277892,0.46774,1.128078,13.899769,0.148677,0.151328,1.091776,2.201128
Betsi Cadwaladr University Health Board ,Dwyfor (1),Eifionydd Health Hub ,W94021 ,7.15034,3.588266,5.722892,2.959665,3.915663,1.466737,8.367539,0.419094,1.440545,20.586695,0.392876,0.694081,10.715332,1.011347,0.209534,1.135099,2.972761
Betsi Cadwaladr University Health Board ,Dwyfor (1),Rhydbach Surgery ,W94025 ,7.119591,3.559795,6.165658,2.34993,3.722662,0.372266,7.759508,1.067438,1.302932,20.707306,0.325733,0.302466,13.410149,0.727117,0.418799,0.828117,2.303397
Betsi Cadwaladr University Health Board ,Dwyfor (1),Bron Meirion (2),W94032 ,6.925633,3.092257,5.583951,3.002811,3.654485,0.702786,8.221476,0.688141,1.162791,19.792998,0.447227,1.086123,10.96553,0.945455,0.30667,1.045759,2.491694
Betsi Cadwaladr University Health Board ,Dwyfor (1),Ty Doctor ,W94037 ,6.643002,1.994591,3.144016,1.555105,2.75524,0.439486,7.311338,0.75825,0.709939,16.649763,0.30426,0.574713,10.060212,0.291758,0.20284,0.840058,2.045301
Betsi Cadwaladr University Health Board ,Dwyfor (1),Porthmadog Health Centre ,W94612 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Betsi Cadwaladr University Health Board ,North West Flintshire ,,,7.310463,2.402637,3.557563,2.62239,3.523379,0.776462,8.27446,0.862747,1.252594,18.129654,0.549383,0.981565,15.073184,0.318091,0.151386,0.839855,1.936272
Betsi Cadwaladr University Health Board ,North West Flintshire ,Pendre Surgery ,W91005 ,6.923369,2.579666,4.229894,3.395296,3.70827,0.711305,9.207924,0.630256,1.280349,22.344461,0.284522,0.986343,21.561195,0.313611,0.151745,0.88561,2.124431
Betsi Cadwaladr University Health Board ,North West Flintshire ,Bodowen Surgery ,W91029 ,8.085627,2.93578,4.892966,2.348624,3.620795,0.770642,8.156089,0.946273,1.46789,21.614679,0.562691,0.856269,10.535606,0.329949,0.122324,0.948496,1.920489
Betsi Cadwaladr University Health Board ,North West Flintshire ,Allt Goch Medical Centre ,W91032 ,5.145333,1.66095,2.346994,1.985918,2.870554,0.75826,7.16175,0.859711,0.740206,12.691822,0.306915,0.920744,8.565092,0.099453,0.126377,0.81143,1.787326
Betsi Cadwaladr University Health Board ,North West Flintshire ,Pennant Surgery ,W91037 ,7.805907,1.814346,1.64557,2.742616,3.459916,0.126582,8.232722,0.943023,0.886076,14.810127,1.308017,1.181435,6.471458,0.205973,0.126582,0.556141,1.054852
Betsi Cadwaladr University Health Board ,North West Flintshire ,Eyton Place Surgery ,W91046 ,5.242494,2.424942,2.56351,1.662818,3.371824,1.247113,7.758052,0.831981,1.108545,14.064665,0.438799,0.808314,12.266485,0.679502,0.023095,0.777062,1.963048
Betsi Cadwaladr University Health Board ,North West Flintshire ,The Laurels Surgery ,W91055 ,8.77193,2.504124,3.493777,2.71405,3.643725,0.779727,7.696853,0.98125,1.424501,16.359274,0.404858,1.049633,18.782674,0.387188,0.239916,0.718954,2.294197
Betsi Cadwaladr University Health Board ,North West Flintshire ,Panton Surgery ,W91636 ,9.645433,1.953125,2.944712,2.884615,3.786058,0.871394,9.269993,1.156967,1.592548,16.466346,1.652644,1.322115,18.532871,0.07734,0.270433,1.002781,1.502404
Betsi Cadwaladr University Health Board ,Meirionnydd (3),,,7.346132,3.584621,5.441965,3.308881,4.365017,0.769991,9.228272,0.950061,2.034233,18.83877,0.754383,0.9833,16.040949,0.42263,0.421414,0.957759,2.793819
Betsi Cadwaladr University Health Board ,Meirionnydd (3),Ffestiniog Memorial Centre (2),W94004 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Betsi Cadwaladr University Health Board ,Meirionnydd (3),Tywyn Health Centre ,W94007 ,8.065385,4.706305,5.388899,3.987785,5.586492,1.365188,11.226179,0.980227,3.664451,24.555416,0.646668,1.149632,11.722794,0.420547,0.916113,1.225379,3.700377
Betsi Cadwaladr University Health Board ,Meirionnydd (3),Minfor Surgery ,W94008 ,8.413231,3.283797,5.009588,3.139981,4.721956,0.33557,9.717912,0.847316,1.534036,17.881112,0.647172,0.958773,16.348443,0.172265,0.383509,0.745622,2.564717
Betsi Cadwaladr University Health Board ,Meirionnydd (3),Bron Meirion (2),W94032 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Betsi Cadwaladr University Health Board ,Meirionnydd (3),Bala Surgery ,W94035 ,6.334941,2.783867,4.471723,2.871548,3.068829,0.460324,7.02408,0.969774,1.139851,14.55502,0.526085,0.635686,20.037482,0.189934,0.109601,0.730533,1.731697
Betsi Cadwaladr University Health Board ,Meirionnydd (3),Caerffynnon ,W94036 ,6.565041,3.313008,6.768293,3.089431,3.882114,0.752033,8.486792,0.985132,1.443089,17.154472,1.178862,1.138211,17.149465,0.828937,0.182927,1.035084,2.947154
Betsi Cadwaladr University Health Board ,South Flintshire ,,,7.473933,2.715199,4.201233,2.136768,3.476292,0.664054,7.515354,0.89616,1.198721,16.877236,0.430018,0.829591,12.006359,0.463117,0.253063,0.887169,2.252835
Betsi Cadwaladr University Health Board ,South Flintshire ,Bradley's Practice ,W00076 ,7.463631,2.334541,4.01357,1.955034,3.128055,0.419757,7.179802,0.896186,1.035018,15.640274,0.408257,1.000518,11.516171,0.479978,0.115002,0.821581,1.811282
Betsi Cadwaladr University Health Board ,South Flintshire ,Hope Family Medical Centre ,W91013 ,7.184112,2.766238,4.377343,1.81376,3.607255,1.084203,7.192717,0.881083,1.18553,17.225656,0.293849,0.719424,11.15895,0.141243,0.172257,0.892227,2.350795
Betsi Cadwaladr University Health Board ,South Flintshire ,Pendre Surgery ,W91017 ,7.823961,3.592251,5.52003,2.247508,3.930788,0.677074,8.39064,0.868424,1.419974,18.600715,0.630055,0.902765,12.364453,0.721831,0.376152,0.769392,2.510814
Betsi Cadwaladr University Health Board ,South Flintshire ,Roseneath Medical Practice ,W91018 ,8.027923,2.569323,2.850494,2.16211,3.393446,0.795036,7.075785,0.996308,1.163467,15.658328,0.368431,0.620516,10.589995,0.529661,0.242389,1.084379,2.656583
Betsi Cadwaladr University Health Board ,South Flintshire ,Leeswood Surgery ,W91044 ,4.940971,1.836467,4.634893,3.104504,3.060778,0.174902,8.553492,0.861859,1.224311,20.201137,0.524705,0.56843,13.522715,0.191388,0.56843,0.786204,2.18627
Betsi Cadwaladr University Health Board ,South Flintshire ,Caergwrle Medical Practice ,W91610 ,7.18098,2.862688,4.415332,3.44493,4.318292,0.533721,8.186138,0.65191,1.649685,19.165454,0.436681,0.873362,23.544404,0.203459,0.873362,1.154137,2.231926
Betsi Cadwaladr University Health Board ,North Denbighshire ,,,7.879119,2.827412,4.089937,3.155508,4.189652,1.151551,9.052052,1.162783,1.34294,17.292568,0.691574,1.326857,13.586934,0.587825,0.324879,1.053872,2.196954
Betsi Cadwaladr University Health Board ,North Denbighshire ,Clarence Medical Centre ,W91003 ,7.596115,3.012854,4.240098,3.222242,4.391322,1.73908,8.850194,1.319438,1.413366,17.094166,0.971326,1.593672,12.926712,0.687482,0.482755,1.099842,2.384691
Betsi Cadwaladr University Health Board ,North Denbighshire ,Healthy Prestatyn Iach ,W91009 ,7.959031,3.504748,5.473168,3.296703,5.025072,1.333618,10.296319,1.177952,1.621679,19.636189,0.490771,1.200256,12.909778,1.012713,0.261389,1.196516,2.699243
Betsi Cadwaladr University Health Board ,North Denbighshire ,Park House Surgery ,W91028 ,8.186371,2.569127,3.102547,3.483562,3.788374,0.653168,8.672615,0.943242,1.219247,16.503375,0.620509,1.001524,12.885965,0.095443,0.206836,0.836062,1.676464
Betsi Cadwaladr University Health Board ,North Denbighshire ,Madryn House Surgery ,W91053 ,8.190883,2.307692,3.062678,2.948718,3.632479,0.754986,8.915859,1.196491,0.783476,15.712251,0.811966,1.210826,16.160288,0.100705,0.156695,1.122973,2.022792
Betsi Cadwaladr University Health Board ,North Denbighshire ,Lakeside Medical Centre ,W91615 ,8.930277,2.43553,3.247373,3.581662,4.297994,0.668577,11.010168,1.172204,1.193887,15.472779,0.429799,1.337154,15.88094,0.109051,0.191022,0.737329,1.719198
Betsi Cadwaladr University Health Board ,North Denbighshire ,Kings House Surgery ,W91622 ,7.39481,1.688083,2.771479,2.368355,2.708491,0.503905,6.372479,1.005293,1.209373,14.978584,0.604686,1.524313,14.63531,0.348675,0.453515,0.877799,1.486521
Betsi Cadwaladr University Health Board ,South Wrexham ,,,7.922083,2.783026,3.992216,2.595979,3.682361,0.79542,7.931706,0.990489,1.233752,18.290886,0.434553,1.00325,15.807899,0.717282,0.29474,0.979511,2.255895
Betsi Cadwaladr University Health Board ,South Wrexham ,Canolfan Iechyd Llangollen Health Centre ,W91010 ,7.115829,3.81543,4.488123,2.54362,4.256885,1.587135,7.467702,0.970498,1.439983,16.974984,0.315325,1.198234,15.612736,1.131601,0.472987,1.131001,2.848434
Betsi Cadwaladr University Health Board ,South Wrexham ,Gardden Road Surgery ,W91019 ,9.914593,2.289887,3.589553,3.10682,3.626686,0.767422,8.286832,0.858813,0.953088,19.606387,0.618888,1.113999,12.677353,0.205399,0.160911,1.084932,2.079465
Betsi Cadwaladr University Health Board ,South Wrexham ,Chirk Surgery ,W91024 ,6.883551,2.908542,4.287407,2.574599,3.964236,0.894108,8.253282,1.148914,1.303458,18.743941,0.355489,0.689432,18.599816,1.330927,0.387806,1.026905,2.693095
Betsi Cadwaladr University Health Board ,South Wrexham ,Overton Medical Practice ,W91026 ,8.275471,3.315857,4.577016,1.898824,3.670115,0.42511,7.37316,0.773936,1.119456,19.002409,0.368429,0.580983,17.49719,0.764292,0.113363,0.868896,2.238912
Betsi Cadwaladr University Health Board ,South Wrexham ,Ruabon Medical Centre ,W91043 ,8.282972,2.701742,4.372556,2.689892,3.495675,0.497689,8.238812,1.228656,1.516767,19.030691,0.355492,1.184975,19.469903,0.195695,0.225145,0.790291,1.955208
Betsi Cadwaladr University Health Board ,South Wrexham ,Beech Avenue Practice ,W91059 ,8.183123,1.658957,2.775562,3.238156,3.110544,0.558303,8.072694,1.034135,0.988993,15.122029,0.765672,1.308024,11.244379,0.612156,0.079758,1.15429,1.80252
Betsi Cadwaladr University Health Board ,South Wrexham ,Hanmer Surgery ,W91604 ,6.778822,2.424542,3.067788,1.13805,3.166749,0.296883,7.358856,0.73622,0.989609,24.740228,0,0.544285,9.640821,0.247729,0.04948,0.501546,1.385453
Betsi Cadwaladr University Health Board ,South Wrexham ,Crane Medical Centre ,W91614 ,6.31068,1.765225,3.089144,2.427184,3.089144,0.529568,8.119102,0.81533,1.279788,15.313327,0.573698,1.279788,15.544021,0.227015,1.279788,0.787704,1.809356
Betsi Cadwaladr University Health Board ,North & West Wrexham ,,,7.902785,2.590057,4.273458,2.419551,3.499418,0.66037,7.910331,0.837536,1.120463,17.583696,0.343717,1.044683,16.345139,0.290203,0.284175,0.808906,2.116431
Betsi Cadwaladr University Health Board ,North & West Wrexham ,Caritas Surgery ,W00007 ,8.25633,2.112084,2.856114,2.364095,2.976119,0.444018,7.71208,0.828014,0.99604,15.49262,0.408016,0.936037,17.311748,0.387347,0.276011,0.787573,1.620065
Betsi Cadwaladr University Health Board ,North & West Wrexham ,Pen y Maes Health Centre ,W91006 ,6.943707,2.00478,2.934148,2.854488,3.332448,0.557621,8.780353,0.956465,1.301115,15.998407,0.331917,1.579926,15.683516,0,0.292087,0.759412,2.04461
Betsi Cadwaladr University Health Board ,North & West Wrexham ,Bryn Darland Surgery ,W91016 ,9.263263,2.993514,4.590055,2.710793,3.775154,1.014469,8.097162,0.757709,1.31382,18.493265,0.365874,1.164144,17.3669,0.857249,0.565442,0.657234,2.494595
